20130701004019,95710,
20130702004019,89592,
20130703004020,146793,
20130704004107,73960,
20130705004019,55698,
20130706004019,75638,
20130707004020,88613,
20130708004020,88287,
20130709004004,134745,
20130710004004,54975,
20130711004005,92587,
20130712004003,96877,
20130713004004,58958,
20130714004001,86388,
20130715004002,91894,
20130716004006,91192,
20130717004002,88142,
20130718004004,90658,
20130719004004,86081,
20130720004002,72033,
20130721004003,88839,
20130722004004,59760,
20130723004004,59287,
20130724004003,84803,
20130725004004,93491,
20130726004002,87119,
20130727004003,73882,1
20130728004005,83148,
20130729004005,88787,
20130730004004,85310,
20130731004006,109960,
20130801004002,114119,
20130802004004,44069,
20130803004007,52675,
20130804004006,66987,
20130805004006,328498,
20130806004002,1438,7
20130807004004,243,
20130808004004,307,
20130809004002,42994,46
20130810004002,59262,74
20130811004003,76371,103
20130812004004,103052,139
20130813004004,46847,62
20130814004004,87473,94
20130815004005,88306,93
20130816004007,82987,89
20130817004005,73023,78
20130818004007,87677,107
20130819004005,82147,117
20130820004003,86678,104
20130821004005,93658,99
20130822004006,85001,101
20130823004003,87879,75
20130824004004,69985,72
20130825004001,78443,88
20130826004002,87644,111
20130827004001,119713,112
20130828004006,68104,57
20130829004002,85907,95
20130830004004,105560,90
20130831004004,88621,131
20130901004005,83212,76
20130902004002,63003,59
20130903004001,82908,76
20130904004004,82724,54
20130905004001,82821,84
20130906004001,72374,73
20130907004002,57728,74
20130908004001,111769,145
20130910004002,2325,15
20130911004006,,
