20121001030603,51537,216
20121002030526,55788,160
20121003030545,58248,152
20121004030525,66294,158
20121005030609,60194,167
20121006030534,31240,89
20121006134717,33455,81
20121007030539,49563,114
20121008031745,56517,132
20121009030547,64599,231
20121010030605,66253,140
20121011030552,63441,148
20121012030610,42054,58
20121015030612,62444,177
20121016030544,62332,179
20121017030548,64983,188
20121018030618,61699,135
20121019030551,80675,235
20121020030554,52446,150
20121021030553,47849,128
20121021115746,19420,49
20121022030551,48688,138
20121023030553,54160,166
20121024030643,61235,121
20121101030705,55124,91
20121101180809,14664,28
20121102030726,52680,60
20121103030715,54587,78
20121109030635,56742,86
20121110030714,58563,118
20121111030749,57768,106
20121112030753,62862,122
20121113030658,72409,117
20121114030718,33852,55
20121114102936,32636,90
20121115030705,60075,114
20121116030725,59653,128
20121117030747,58938,92
20121118030713,68608,125
20121119030725,67183,119
20121120030739,67477,136
20121121030712,69827,146
20121122030751,58905,113
20121123030827,59454,113
20121124030824,30366,51
20121124130632,28971,46
20121125030729,54685,83
20121126030823,60548,106
20121127030907,62654,114
20121128030742,69575,160
20121129030820,23816,39
20121129074803,39422,76
20121130030747,53665,101
20121201030812,54351,97
20121202030723,59463,131
20121203030801,64661,121
20121205030759,60837,124
20121206030737,65104,123
20121207030741,54967,113
20121208030937,53510,102
20121209030817,62748,181
20121210030747,64793,144
20121211030855,69590,198
20121212034329,59817,162
20121213030751,63331,140
20121214030827,59733,126
20121215030840,55940,118
20121216030851,58449,129
20121217030850,62377,108
20121218030803,60898,133
20121219030847,60436,168
20121220030912,62597,172
20121221030826,58519,139
20121222030836,55914,116
20121223030832,55517,112
20121224030902,76418,125
20121225030757,35971,150
20121226030800,10712,37
20121226074343,44223,101
20121227030822,56149,120
20121228030811,55140,140
20121229030919,53960,147
20121230030830,58139,175
20121231030859,47537,123
20130101030838,58046,159
20130102030907,60574,137
20130103030946,61805,136
20130104030823,62091,139
20130105030839,55586,129
20130106030902,60916,112
20130107030932,72375,159
20130108033457,57820,143
20130109030942,253711,170
20130110030939,37716,134
20130111030906,42509,166
20130112030947,32063,173
20130113031019,36174,145
20130114031033,35843,184
20130115030936,36833,153
20130116031003,36125,148
20130117030933,38144,166
20130118030915,34781,135
20130119030922,34734,143
20130120030952,40585,128
20130121020044,15535,63
20130121031005,25931,112
20130122030956,39906,150
20130123030907,9157,31
20130123052720,34787,153
20130124054158,15760,65
20130124162801,11520,67
20130125031018,68413,135
20130126030941,63007,146
20130127031042,69992,155
20130128030943,74051,177
20130129030851,67165,133
20130130030907,77185,140
20130131031009,63549,168
20130201030927,65225,169
20130202030955,58300,149
20130203030932,72008,215
20130204030941,66778,180
20130205031033,67987,171
20130206031027,70833,148
20130207030936,69632,139
20130208031053,64394,181
20130209031117,66812,199
20130210031150,66605,165
20130211031055,70751,188
20130212031120,73631,183
20130213031137,61903,261
20130213102141,47705,307
20130214032850,59308,147
20130215031040,62780,118
20130216031127,58778,143
20130217031005,65969,136
20130218031106,67657,125
20130219031055,81015,205
20130220031126,83554,145
20130221030952,24242,47
20130221072044,52396,113
20130222031133,62448,106
20130223031157,63603,327
20130224031053,72244,296
20130225031141,57932,129
20130226031002,64588,149
20130227030925,78108,155
20130228030852,37317,52
20130228100310,19119,36
20130301030909,61067,152
20130302030852,89367,109
20130303030835,39195,146
20130304030933,79459,159
20130305030833,74402,144
20130306031012,111170,160
20130307030926,38521,150
20130308031005,72772,142
20130309030841,68293,149
20130310030906,74792,147
20130311030946,116652,124
20130312031046,44170,136
20130313031041,106216,223
20130314030914,190540,417
20130315030943,99580,170
20130316030854,1730,
20130317030923,3221,5
20130318030947,92659,90
20130319030939,32249,102
20130320031103,43174,137
20130321030940,37289,42
20130321090706,49827,71
20130322031028,68063,84
20130323031040,66353,88
20130324031024,87648,155
20130325031100,40182,74
20130325105600,48207,265
20130326030941,77449,1675
20130327031035,70443,1629
20130328031013,73126,1586
20130329030904,71529,412
20130330030828,66147,387
20130331030859,71742,505
20130401030817,86697,483
20130402030843,91342,502
20130403030841,33785,206
20130403090950,50928,295
20130404030859,80476,481
20130405030918,35518,61
20130405103453,42728,80
20130406030922,67921,114
20130407030841,73055,91
20130408030928,80451,132
20130409030855,96112,130
20130410031044,35842,47
20130410065939,54737,68
20130411030925,77692,84
20130412030828,78229,101
20130413030927,68048,93
20130414031025,71873,89
20130415030812,139131,142
20130416030901,27804,72
20130417031053,60135,91
20130418031048,55589,79
