date,0-10.3,10.3-10.3.183.67,11.0-11.2.202.275
2013-01-01,2.74847322717,2.6045418553,7.35761562001
2013-01-02,2.75286708881,2.65472712968,7.64666975656
2013-01-04,2.62832041972,2.53327813011,7.15482088248
2013-01-05,2.64153693091,2.55974358611,7.31482830869
2013-01-06,2.80191032388,2.62735502248,7.38697018817
2013-01-07,2.8385068634,2.58804252433,7.30771656681
2013-01-08,2.99571837413,2.6554087648,7.35717100163
2013-01-09,3.0337952562,2.64107754138,7.35883760987
2013-01-10,2.92129983518,2.62236342355,7.18579055491
2013-01-11,2.82790794187,2.59217055125,7.17908448527
2013-01-12,2.58357272435,2.48935473986,6.91884738059
2013-01-13,2.80219633912,2.55750368777,7.07935802633
2013-01-14,2.8857098132,2.58106932897,7.10948968588
2013-01-15,2.94775388713,2.56729601812,7.01350288767
2013-01-16,2.90910585385,2.57335724634,7.10914855021
2013-01-17,3.20890785041,2.63586816656,7.35172169258
2013-01-18,2.55340124268,2.45292703853,6.58730526406
2013-01-19,2.64380035511,2.46584196482,6.91330357571
2013-01-20,3.73777025407,2.87524918118,7.38348846887
2013-01-21,2.88957420996,2.51667611351,6.97355696774
2013-01-22,2.63618481083,2.36718280131,6.60278716778
2013-01-23,2.59961652105,2.39008828764,6.60619044594
2013-01-24,2.93675863515,2.45898540214,6.8957457559
2013-01-25,2.92763157895,2.53260618652,6.6081871345
2013-01-26,2.58011564281,2.37450882565,6.62467381319
2013-01-27,2.83211398254,2.489321724,6.76505769683
2013-01-28,3.19642855959,2.57631037805,6.68385146341
2013-01-29,3.0021644869,2.54557689508,6.78154677312
2013-01-30,2.92577795103,2.47776938923,6.67361305624
2013-01-31,2.84017827507,2.47070862897,6.61436754233
2013-02-01,2.74142671675,2.44249717391,6.59064207684
2013-02-02,2.44934862884,2.38570603732,6.48801688719
2013-02-03,2.60614550874,2.46400002531,6.67372056214
2013-02-04,2.47673380491,2.36313927743,6.36892598787
2013-02-05,2.67430684707,2.45942931183,6.51323348499
2013-02-06,2.61806958161,2.4760509574,6.57387185351
2013-02-07,2.51553786938,2.3933044575,6.46041306126
2013-02-08,2.73099916071,2.5647772393,6.76742557763
2013-02-10,1.89605414385,2.22046632233,6.14545332996
2013-02-11,2.51826762149,2.43523238768,6.48506995309
2013-02-12,2.46099209519,2.40216271606,6.40251725968
2013-02-13,2.49840845719,2.42523263864,6.42003763462
2013-02-14,2.47044898149,2.41990526123,6.35110449838
2013-02-15,2.40008995529,2.36822991176,6.35055119191
2013-02-16,2.12821708859,2.33109889526,6.1713776362
2013-02-17,2.01239782557,2.25924822816,6.07037078996
2013-02-18,2.53756597119,2.43544522388,6.37844879149
2013-02-19,2.45704602046,2.38799463194,6.25842470432
2013-02-20,2.46234877676,2.39271559651,6.25176423091
2013-02-21,2.47473059872,2.39320172299,6.22682543046
2013-02-22,2.39391201748,2.37770794156,6.18088876604
2013-02-23,2.08256855824,2.29711226904,6.07180291714
2013-02-24,1.95376845685,2.22357341543,5.92434117642
2013-02-25,2.45459367943,2.37466404865,6.19990951826
2013-02-26,2.4166354555,2.34728622674,6.12034731675
2013-02-27,2.62976404482,2.41031554907,5.91114653642
2013-02-28,2.36264015397,2.32656522978,6.09798839249
2013-03-01,2.27079496254,2.31141343465,5.99844350628
2013-03-02,1.95921098073,2.19102914143,5.86238158439
2013-03-03,1.84532900879,2.12925282259,5.72720525138
2013-03-04,2.3214646365,2.27632984299,6.08341015938
2013-03-05,2.32803969258,2.27997276,6.02890812984
2013-03-06,2.47499162613,2.3499864423,6.11759789457
2013-03-07,2.36058777406,2.25112781077,5.97315999406
2013-03-08,2.12901103324,2.08672246928,5.81929793021
2013-03-10,1.76593702391,1.74005553403,5.60046961414
2013-03-11,2.23391874359,1.86796819766,5.89407603144
2013-03-12,2.24937375019,1.76981004318,5.85149171601
2013-03-13,2.2765439955,1.7516941956,5.89821924352
2013-03-14,2.56573707268,1.84871344338,6.00377176895
2013-03-15,2.1950212036,1.64669451904,5.76283460031
2013-03-16,1.82859461019,1.51291304776,5.63631217923
2013-03-17,1.73613407044,1.43032196887,5.50900744613
2013-03-18,2.18858151234,1.6028679287,5.74865663192
2013-03-19,2.18455081718,1.58413304687,5.62223012955
2013-03-20,2.18760622505,1.54755408628,5.36190889822
2013-03-21,2.15654797356,1.51951364775,4.95029615752
2013-03-22,2.10047866859,1.50837177817,4.66571761816
2013-03-23,1.75115445584,1.36178457723,4.2834074218
2013-03-24,1.62859579422,1.29399587555,4.02433095951
2013-03-25,2.09337810102,1.46171741626,4.17687697316
2013-03-26,2.13190297142,1.44742010828,4.105784574
2013-03-27,2.10835212635,1.42984029044,3.97010825473
2013-03-28,2.0205604884,1.39658904684,3.84046650311
2013-03-29,1.8375036623,1.30705365067,3.62973125171
2013-03-30,1.74337619607,1.27922115517,3.50721311469
2013-03-31,1.6842001866,1.24338310295,3.39974541741
2013-04-01,1.93866651258,1.37283800379,3.56711389461
2013-04-02,2.06013183634,1.38373639187,3.57846258813
2013-04-03,2.08200965683,1.36184870761,3.54245126223
2013-04-06,1.73401510383,1.23823076373,3.23858933552
2013-04-07,1.62010078596,1.16758402165,3.13297588492
2013-04-08,2.07357516867,1.31955819473,3.37841064542
2013-04-09,2.07286418723,1.31919263632,3.39260993102
2013-04-10,2.090450131,1.31342313264,3.37354244448
2013-04-11,1.98661620433,1.27609799759,3.30160272845
2013-04-12,1.95087208233,1.2744349084,3.22532910971
2013-04-13,1.63859068567,1.13940825345,3.01059916677
2013-04-14,1.49777620781,1.06223708158,2.84197549842
2013-04-15,1.96823285381,1.24740827816,3.17105438607
2013-04-17,2.038388186,1.24091868263,3.14441973289
